commit	val_bpb	memory_gb	status	description
98ef50c	1.842572	0.0	keep	baseline folktales run
de070ee	1.710647	0.0	keep	smaller optimizer batch 2**15
b5d41c0	1.715136	0.0	discard	shorter LR warmdown 0.25
65c1e1e	1.734001	0.0	discard	lower matrix LR 0.03
8c111bb	1.717944	0.0	discard	higher matrix LR 0.05
1ad4793	1.698088	0.0	keep	shallower model depth 3
2bc32c6	1.694426	0.0	keep	two layer model
2d00fdf	1.703351	0.0	discard	one layer model
ebd05a9	1.675139	0.0	keep	wider two layer model aspect 128
33370c7	1.713592	0.0	discard	extra wide two layer model aspect 192
9c85de3	1.673504	0.0	keep	lower matrix LR 0.03 on wide shallow model
d8d9ada	1.696371	0.0	discard	matrix LR 0.02
e231ae8	1.687227	0.0	discard	matrix LR 0.025
bbcd935	1.674151	0.0	discard	lower embedding LR 0.4
9c0fbc3	1.669677	0.0	keep	higher embedding LR 0.8
7a3313b	1.674022	0.0	discard	embedding LR 1.0
919f235	1.677354	0.0	discard	embedding LR 0.9
e764b61	1.689372	0.0	discard	higher unembedding LR 0.006
